Date;Price;
21/09/2020;15000;
22/09/2020;15000;
23/09/2020;15000;
24/09/2020;15000;
25/09/2020;15000;
28/09/2020;15000;
29/09/2020;15000;
30/09/2020;15000;
01/10/2020;15000;
02/10/2020;15000;
05/10/2020;15000;
06/10/2020;15000;
07/10/2020;15000;
08/10/2020;15000;
09/10/2020;15000;
12/10/2020;15000;
13/10/2020;15000;
14/10/2020;15000;
15/10/2020;15000;
16/10/2020;15000;
19/10/2020;15250;
20/10/2020;15250;
21/10/2020;15250;
22/10/2020;15250;
23/10/2020;15250;
26/10/2020;15250;
27/10/2020;15250;
02/11/2020;15650;
03/11/2020;15650;
04/11/2020;15000;
05/11/2020;15000;
06/11/2020;15000;
09/11/2020;15000;
10/11/2020;15000;
11/11/2020;15000;
12/11/2020;15000;
13/11/2020;15000;
16/11/2020;15000;
17/11/2020;15000;
18/11/2020;15000;
19/11/2020;15000;
20/11/2020;15000;
23/11/2020;15000;
24/11/2020;15000;
25/11/2020;15000;
26/11/2020;15000;
27/11/2020;15000;
30/11/2020;15000;
01/12/2020;15000;
02/12/2020;15000;
03/12/2020;15000;
04/12/2020;14850;
07/12/2020;15000;
08/12/2020;15000;
10/12/2020;15000;
11/12/2020;15000;
14/12/2020;15000;
15/12/2020;15000;
16/12/2020;15150;
17/12/2020;15000;
18/12/2020;15000;
21/12/2020;15000;
22/12/2020;15000;
23/12/2020;15000;
28/12/2020;15000;
29/12/2020;15000;
30/12/2020;15000;
04/01/2021;15000;
05/01/2021;15000;
06/01/2021;15000;
07/01/2021;15000;
08/01/2021;15000;
11/01/2021;15000;
12/01/2021;15000;
13/01/2021;15000;
14/01/2021;15000;
15/01/2021;15000;
18/01/2021;15000;
19/01/2021;15000;
20/01/2021;15000;
21/01/2021;15000;
22/01/2021;15000;
25/01/2021;15000;
26/01/2021;15000;
27/01/2021;15000;
28/01/2021;15000;
29/01/2021;15000;
01/02/2021;15000;
02/02/2021;15000;
03/02/2021;15000;
04/02/2021;15000;
05/02/2021;15000;
08/02/2021;15000;
09/02/2021;15000;
10/02/2021;15000;
11/02/2021;15000;
15/02/2021;15000;
16/02/2021;15000;
17/02/2021;15000;
18/02/2021;15000;
19/02/2021;15000;
22/02/2021;15000;
23/02/2021;15000;
24/02/2021;15000;
25/02/2021;15000;
26/02/2021;15000;
01/03/2021;15000;
02/03/2021;15000;
03/03/2021;15000;
04/03/2021;15000;
05/03/2021;15000;
08/03/2021;15000;
09/03/2021;15000;
10/03/2021;15000;
12/03/2021;15000;
15/03/2021;15000;
16/03/2021;15000;
17/03/2021;15000;
18/03/2021;15250;
19/03/2021;15250;
22/03/2021;15250;
23/03/2021;15250;
24/03/2021;15250;
25/03/2021;15000;
26/03/2021;15000;
29/03/2021;15000;
30/03/2021;15000;
31/03/2021;15000;
01/04/2021;15000;
05/04/2021;15000;
06/04/2021;15000;
07/04/2021;15000;
08/04/2021;15000;
09/04/2021;15000;
12/04/2021;15000;
13/04/2021;15000;
14/04/2021;15000;
15/04/2021;15000;
16/04/2021;15000;
19/04/2021;15000;
20/04/2021;15000;
21/04/2021;15000;
22/04/2021;15000;
23/04/2021;15000;
26/04/2021;15000;
27/04/2021;15000;
28/04/2021;15000;
29/04/2021;15000;
30/04/2021;15000;
03/05/2021;15000;
04/05/2021;15000;
05/05/2021;15000;
06/05/2021;15000;
07/05/2021;15000;
10/05/2021;15000;
11/05/2021;15000;
17/05/2021;15000;
18/05/2021;15000;
19/05/2021;15000;
